detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
25-1041,"Agricultural Sciences Teachers, Postsecondary",25-0000,25-1000,25-1040,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary"
25-1042,"Biological Science Teachers, Postsecondary",25-0000,25-1000,25-1040,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary"
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25-0000,25-1000,25-1040,"Education, Training, and Library Occupations",Postsecondary Teachers,"Life Sciences Teachers, Postsecondary"
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-0000,25-1000,25-1050,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary"
25-1052,"Chemistry Teachers, Postsecondary",25-0000,25-1000,25-1050,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary"
25-1053,"Environmental Science Teachers, Postsecondary",25-0000,25-1000,25-1050,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary"
25-1054,"Physics Teachers, Postsecondary",25-0000,25-1000,25-1050,"Education, Training, and Library Occupations",Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary"
25-1061,"Anthropology and Archeology Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1063,"Economics Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1064,"Geography Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1065,"Political Science Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1066,"Psychology Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1067,"Sociology Teachers, Postsecondary",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-0000,25-1000,25-1060,"Education, Training, and Library Occupations",Postsecondary Teachers,"Social Sciences Teachers, Postsecondary"
25-1071,"Health Specialties Teachers, Postsecondary",25-0000,25-1000,25-1070,"Education, Training, and Library Occupations",Postsecondary Teachers,"Health Teachers, Postsecondary"
25-1072,"Nursing Instructors and Teachers, Postsecondary",25-0000,25-1000,25-1070,"Education, Training, and Library Occupations",Postsecondary Teachers,"Health Teachers, Postsecondary"
25-1081,"Education Teachers, Postsecondary",25-0000,25-1000,25-1080,"Education, Training, and Library Occupations",Postsecondary Teachers,"Education and Library Science Teachers, Postsecondary"
25-1082,"Library Science Teachers, Postsecondary",25-0000,25-1000,25-1080,"Education, Training, and Library Occupations",Postsecondary Teachers,"Education and Library Science Teachers, Postsecondary"
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-0000,25-1000,25-1110,"Education, Training, and Library Occupations",Postsecondary Teachers,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
25-1112,"Law Teachers, Postsecondary",25-0000,25-1000,25-1110,"Education, Training, and Library Occupations",Postsecondary Teachers,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
25-1113,"Social Work Teachers, Postsecondary",25-0000,25-1000,25-1110,"Education, Training, and Library Occupations",Postsecondary Teachers,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
25-1121,"Art, Drama, and Music Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1122,"Communications Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1123,"English Language and Literature Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1125,"History Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1126,"Philosophy and Religion Teachers, Postsecondary",25-0000,25-1000,25-1120,"Education, Training, and Library Occupations",Postsecondary Teachers,"Arts, Communications, and Humanities Teachers, Postsecondary"
25-1191,Graduate Teaching Assistants,25-0000,25-1000,25-1190,"Education, Training, and Library Occupations",Postsecondary Teachers,Miscellaneous Postsecondary Teachers
25-1192,"Home Economics Teachers, Postsecondary",25-0000,25-1000,25-1190,"Education, Training, and Library Occupations",Postsecondary Teachers,Miscellaneous Postsecondary Teachers
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25-0000,25-1000,25-1190,"Education, Training, and Library Occupations",Postsecondary Teachers,Miscellaneous Postsecondary Teachers
25-1194,"Vocational Education Teachers, Postsecondary",25-0000,25-1000,25-1190,"Education, Training, and Library Occupations",Postsecondary Teachers,Miscellaneous Postsecondary Teachers
25-1199,"Postsecondary Teachers, All Other",25-0000,25-1000,25-1190,"Education, Training, and Library Occupations",Postsecondary Teachers,Miscellaneous Postsecondary Teachers
25-2011,"Preschool Teachers, Except Special Education",25-0000,25-2000,25-2010,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Preschool and Kindergarten Teachers
25-2012,"Kindergarten Teachers, Except Special Education",25-0000,25-2000,25-2010,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Preschool and Kindergarten Teachers
25-2021,"Elementary School Teachers, Except Special Education",25-0000,25-2000,25-2020,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Elementary and Middle School Teachers
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",25-0000,25-2000,25-2020,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Elementary and Middle School Teachers
25-2023,"Career/Technical Education Teachers, Middle School",25-0000,25-2000,25-2020,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Elementary and Middle School Teachers
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",25-0000,25-2000,25-2030,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Secondary School Teachers
25-2032,"Career/Technical Education Teachers, Secondary School",25-0000,25-2000,25-2030,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Secondary School Teachers
25-2051,"Special Education Teachers, Preschool",25-0000,25-2000,25-2050,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Special Education Teachers
25-2052,"Special Education Teachers, Kindergarten and Elementary School",25-0000,25-2000,25-2050,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Special Education Teachers
25-2053,"Special Education Teachers, Middle School",25-0000,25-2000,25-2050,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Special Education Teachers
25-2054,"Special Education Teachers, Secondary School",25-0000,25-2000,25-2050,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Special Education Teachers
25-2059,"Special Education Teachers, All Other",25-0000,25-2000,25-2050,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",Special Education Teachers
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,25-0000,25-3000,25-3010,"Education, Training, and Library Occupations",Other Teachers and Instructors,Adult Basic and Secondary Education and Literacy Teachers and Instructors 
25-3021,Self-Enrichment Education Teachers,25-0000,25-3000,25-3020,"Education, Training, and Library Occupations",Other Teachers and Instructors,Self-Enrichment Education Teachers
25-3099,"Teachers and Instructors, All Other",25-0000,25-3000,25-3090,"Education, Training, and Library Occupations",Other Teachers and Instructors,Miscellaneous Teachers and Instructors
25-4011,Archivists,25-0000,25-4000,25-4010,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians"
25-4012,Curators,25-0000,25-4000,25-4010,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians"
25-4013,Museum Technicians and Conservators,25-0000,25-4000,25-4010,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians"
25-4021,Librarians,25-0000,25-4000,25-4020,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists",Librarians
25-4031,Library Technicians,25-0000,25-4000,25-4030,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists",Library Technicians
25-9011,Audio-Visual and Multimedia Collections Specialists,25-0000,25-9000,25-9010,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations",Audio-Visual and Multimedia Collections Specialists
25-9021,Farm and Home Management Advisors,25-0000,25-9000,25-9020,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations",Farm and Home Management Advisors
25-9031,Instructional Coordinators,25-0000,25-9000,25-9030,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations",Instructional Coordinators
25-9041,Teacher Assistants,25-0000,25-9000,25-9040,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations",Teacher Assistants
25-9099,"Education, Training, and Library Workers, All Other",25-0000,25-9000,25-9090,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Miscellaneous Education, Training, and Library Workers"
27-1011,Art Directors,27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers
27-1012,Craft Artists,27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers
27-1014,Multimedia Artists and Animators,27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers
27-1019,"Artists and Related Workers, All Other",27-0000,27-1000,27-1010,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers
27-1021,Commercial and Industrial Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1022,Fashion Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1023,Floral Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1024,Graphic Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1025,Interior Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1026,Merchandise Displayers and Window Trimmers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1027,Set and Exhibit Designers,27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-1029,"Designers, All Other",27-0000,27-1000,27-1020,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers
27-2011,Actors,27-0000,27-2000,27-2010,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors"
27-2012,Producers and Directors,27-0000,27-2000,27-2010,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors"
27-2021,Athletes and Sports Competitors,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers"
27-2022,Coaches and Scouts,27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers"
27-2023,"Umpires, Referees, and Other Sports Officials",27-0000,27-2000,27-2020,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers"
27-2031,Dancers,27-0000,27-2000,27-2030,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers and Choreographers
27-2032,Choreographers,27-0000,27-2000,27-2030,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers and Choreographers
27-2041,Music Directors and Composers,27-0000,27-2000,27-2040,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers"
27-2042,Musicians and Singers,27-0000,27-2000,27-2040,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers"
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",27-0000,27-2000,27-2090,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Miscellaneous Entertainers and Performers, Sports and Related Workers"
27-3011,Radio and Television Announcers,27-0000,27-3000,27-3010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Announcers
27-3012,Public Address System and Other Announcers,27-0000,27-3000,27-3010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Announcers
27-3021,Broadcast News Analysts,27-0000,27-3000,27-3020,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters and Correspondents"
27-3022,Reporters and Correspondents,27-0000,27-3000,27-3020,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters and Correspondents"
27-3031,Public Relations Specialists,27-0000,27-3000,27-3030,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists
27-3041,Editors,27-0000,27-3000,27-3040,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Editors
27-3042,Technical Writers,27-0000,27-3000,27-3040,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Editors
27-3043,Writers and Authors,27-0000,27-3000,27-3040,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Editors
27-3091,Interpreters and Translators,27-0000,27-3000,27-3090,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Miscellaneous Media and Communication Workers
27-3099,"Media and Communication Workers, All Other",27-0000,27-3000,27-3090,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Miscellaneous Media and Communication Workers
27-4011,Audio and Video Equipment Technicians,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast and Sound Engineering Technicians and Radio Operators
27-4012,Broadcast Technicians,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast and Sound Engineering Technicians and Radio Operators
27-4013,Radio Operators,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast and Sound Engineering Technicians and Radio Operators
27-4014,Sound Engineering Technicians,27-0000,27-4000,27-4010,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast and Sound Engineering Technicians and Radio Operators
27-4021,Photographers,27-0000,27-4000,27-4020,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Photographers
27-4031,"Camera Operators, Television, Video, and Motion Picture",27-0000,27-4000,27-4030,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,"Television, Video, and Motion Picture Camera Operators and Editors"
27-4032,Film and Video Editors,27-0000,27-4000,27-4030,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,"Television, Video, and Motion Picture Camera Operators and Editors"
27-4099,"Media and Communication Equipment Workers, All Other",27-0000,27-4000,27-4090,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Miscellaneous Media and Communication Equipment Workers
29-1011,Chiropractors,29-0000,29-1000,29-1010,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Chiropractors
29-1021,"Dentists, General",29-0000,29-1000,29-1020,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dentists
29-1022,Oral and Maxillofacial Surgeons,29-0000,29-1000,29-1020,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dentists
29-1023,Orthodontists,29-0000,29-1000,29-1020,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dentists
29-1024,Prosthodontists,29-0000,29-1000,29-1020,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dentists
29-1029,"Dentists, All Other Specialists",29-0000,29-1000,29-1020,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dentists
29-1031,Dietitians and Nutritionists,29-0000,29-1000,29-1030,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Dietitians and Nutritionists
29-1041,Optometrists,29-0000,29-1000,29-1040,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Optometrists
29-1051,Pharmacists,29-0000,29-1000,29-1050,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Pharmacists
29-1061,Anesthesiologists,29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1062,Family and General Practitioners,29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1063,"Internists, General",29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1064,Obstetricians and Gynecologists,29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1065,"Pediatricians, General",29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1066,Psychiatrists,29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1067,Surgeons,29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1069,"Physicians and Surgeons, All Other",29-0000,29-1000,29-1060,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physicians and Surgeons
29-1071,Physician Assistants,29-0000,29-1000,29-1070,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Physician Assistants
29-1081,Podiatrists,29-0000,29-1000,29-1080,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Podiatrists
29-1122,Occupational Therapists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1123,Physical Therapists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1124,Radiation Therapists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1125,Recreational Therapists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1126,Respiratory Therapists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1127,Speech-Language Pathologists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1128,Exercise Physiologists,29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1129,"Therapists, All Other",29-0000,29-1000,29-1120,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Therapists
29-1131,Veterinarians,29-0000,29-1000,29-1130,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Veterinarians
29-1141,Registered Nurses,29-0000,29-1000,29-1140,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Registered Nurses
29-1151,Nurse Anesthetists,29-0000,29-1000,29-1150,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Nurse Anesthetists
29-1161,Nurse Midwives,29-0000,29-1000,29-1160,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Nurse Midwives
29-1171,Nurse Practitioners,29-0000,29-1000,29-1170,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Nurse Practitioners
29-1181,Audiologists,29-0000,29-1000,29-1180,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Audiologists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",29-0000,29-1000,29-1190,Healthcare Practitioners and Technical Occupations,Health Diagnosing and Treating Practitioners,Miscellaneous Health Diagnosing and Treating Practitioners
29-2011,Medical and Clinical Laboratory Technologists,29-0000,29-2000,29-2010,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians
29-2012,Medical and Clinical Laboratory Technicians,29-0000,29-2000,29-2010,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians
29-2021,Dental Hygienists,29-0000,29-2000,29-2020,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Dental Hygienists
29-2031,Cardiovascular Technologists and Technicians,29-0000,29-2000,29-2030,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians
29-2032,Diagnostic Medical Sonographers,29-0000,29-2000,29-2030,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians
29-2033,Nuclear Medicine Technologists,29-0000,29-2000,29-2030,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians
29-2034,Radiologic Technologists ,29-0000,29-2000,29-2030,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians
29-2035 ,Magnetic Resonance Imaging Technologists,29-0000,29-2000,29-2030,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians
29-2041,Emergency Medical Technicians and Paramedics,29-0000,29-2000,29-2040,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Emergency Medical Technicians and Paramedics
29-2051,Dietetic Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2052,Pharmacy Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2053,Psychiatric Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2054,Respiratory Therapy Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2055,Surgical Technologists,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2056,Veterinary Technologists and Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2057,Ophthalmic Medical Technicians,29-0000,29-2000,29-2050,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Health Practitioner Support Technologists and Technicians
29-2061,Licensed Practical and Licensed Vocational Nurses,29-0000,29-2000,29-2060,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Licensed Practical and Licensed Vocational Nurses
29-2071,Medical Records and Health Information Technicians,29-0000,29-2000,29-2070,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Medical Records and Health Information Technicians
29-2081,"Opticians, Dispensing",29-0000,29-2000,29-2080,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,"Opticians, Dispensing"
29-2091,Orthotists and Prosthetists,29-0000,29-2000,29-2090,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Miscellaneous Health Technologists and Technicians
29-2092,Hearing Aid Specialists,29-0000,29-2000,29-2090,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Miscellaneous Health Technologists and Technicians
29-2099,"Health Technologists and Technicians, All Other",29-0000,29-2000,29-2090,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Miscellaneous Health Technologists and Technicians
29-9011,Occupational Health and Safety Specialists,29-0000,29-9000,29-9010,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Occupational Health and Safety Specialists and Technicians
29-9012,Occupational Health and Safety Technicians,29-0000,29-9000,29-9010,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Occupational Health and Safety Specialists and Technicians
29-9091,Athletic Trainers,29-0000,29-9000,29-9090,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers
29-9092,Genetic Counselors,29-0000,29-9000,29-9090,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers
29-9099,"Healthcare Practitioners and Technical Workers, All Other",29-0000,29-9000,29-9090,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers
31-1011,Home Health Aides,31-0000,31-1000,31-1010,Healthcare Support Occupations,"Nursing, Psychiatric, and Home Health Aides","Nursing, Psychiatric, and Home Health Aides"
31-1013,Psychiatric Aides,31-0000,31-1000,31-1010,Healthcare Support Occupations,"Nursing, Psychiatric, and Home Health Aides","Nursing, Psychiatric, and Home Health Aides"
31-1014,Nursing Assistants,31-0000,31-1000,31-1010,Healthcare Support Occupations,"Nursing, Psychiatric, and Home Health Aides","Nursing, Psychiatric, and Home Health Aides"
31-1015,Orderlies,31-0000,31-1000,31-1010,Healthcare Support Occupations,"Nursing, Psychiatric, and Home Health Aides","Nursing, Psychiatric, and Home Health Aides"
31-2011,Occupational Therapy Assistants,31-0000,31-2000,31-2010,Healthcare Support Occupations,Occupational Therapy and Physical Therapist Assistants and Aides,Occupational Therapy Assistants and Aides
31-2012,Occupational Therapy Aides,31-0000,31-2000,31-2010,Healthcare Support Occupations,Occupational Therapy and Physical Therapist Assistants and Aides,Occupational Therapy Assistants and Aides
31-2021,Physical Therapist Assistants,31-0000,31-2000,31-2020,Healthcare Support Occupations,Occupational Therapy and Physical Therapist Assistants and Aides,Physical Therapist Assistants and Aides
31-2022,Physical Therapist Aides,31-0000,31-2000,31-2020,Healthcare Support Occupations,Occupational Therapy and Physical Therapist Assistants and Aides,Physical Therapist Assistants and Aides
